,ball skills,physical,postions_Player,defence,mental,shooting,passing,hight,wight,age,value
Bryan Cristante,78.0,65.0,CB,75.5,74.83333333333333,69.375,76.66666666666667,186,80,26,17500000
John Brooks,64.0,63.142857142857146,CB,80.5,67.5,42.25,61.333333333333336,193,78,28,13500000
Álvaro,56.5,70.42857142857143,CB,41.0,40.333333333333336,42.625,64.33333333333333,182,75,31,
Jannik Vestergaard,51.5,49.42857142857143,CB,78.5,69.33333333333333,53.625,64.33333333333333,199,96,29,13500000
Djibril Sidibé,75.5,75.57142857142857,CB,75.0,74.0,62.375,75.33333333333333,182,71,29,12500000
Lewis Dunk,67.5,56.142857142857146,CB,79.5,67.5,54.75,60.666666666666664,192,88,29,13000000
Domagoj Vida,57.5,74.57142857142857,CB,80.0,67.33333333333333,45.25,62.333333333333336,184,76,32,9000000
Dedryck Boyata,56.5,73.14285714285714,CB,79.0,59.666666666666664,34.5,59.333333333333336,188,84,30,11500000
Laguardia,52.5,59.57142857142857,CB,81.0,67.66666666666667,44.375,58.333333333333336,185,80,31,9500000
Víctor Ruiz,61.5,61.57142857142857,CB,79.0,66.83333333333333,51.375,67.0,185,78,32,9000000
Chris Smalling,60.0,64.85714285714286,CB,78.5,68.5,48.0,60.333333333333336,194,81,31,9500000
Laurent Koscielny,65.0,64.0,CB,79.0,68.0,47.625,66.66666666666667,186,80,36,3700000
Jurriën Timber,76.5,79.14285714285714,CB,79.5,72.66666666666667,46.0,68.33333333333333,179,77,20,21500000
Tomáš Holeš,72.0,68.57142857142857,CB,77.5,62.833333333333336,47.0,48.666666666666664,180,73,28,10000000
Ibañez,56.5,73.85714285714286,CB,79.5,61.166666666666664,39.0,45.666666666666664,185,73,22,22000000
Luis Romo,68.5,73.57142857142857,CB,75.5,70.33333333333333,58.5,64.0,182,84,26,14000000
Merih Demiral,58.0,70.71428571428571,CB,80.5,61.166666666666664,44.625,49.666666666666664,190,86,23,15000000
Robin Koch,64.5,67.0,CB,79.0,69.33333333333333,41.125,61.666666666666664,191,83,25,19500000
Evan Ndicka,77.5,69.42857142857143,CB,78.0,73.66666666666667,48.5,72.0,192,80,22,20000000
Marcão,66.5,60.285714285714285,CB,78.0,62.666666666666664,44.0,59.0,185,81,25,13000000
Felix Uduokhai,59.0,67.57142857142857,CB,80.5,63.333333333333336,41.25,55.0,193,89,24,14500000
Issa Diop,56.5,65.14285714285714,CB,78.0,64.33333333333333,43.125,55.666666666666664,194,92,24,15000000
Vieirundinho,57.5,62.57142857142857,CB,81.5,58.833333333333336,44.125,60.0,189,84,33,5000000
Enzo Chissano,69.0,73.14285714285714,CB,75.0,66.66666666666667,70.625,72.33333333333333,165,62,29,9500000
Axel Disasi,60.0,58.142857142857146,CB,78.5,61.666666666666664,37.5,54.666666666666664,190,86,23,14500000
Georgiy Dzhikiya,63.5,72.71428571428571,CB,80.0,69.66666666666667,55.625,63.333333333333336,188,86,27,11000000
Rob Holding,66.0,65.0,CB,79.5,67.0,38.125,62.666666666666664,189,75,26,13000000
Rubén Duarte,68.5,65.57142857142857,CB,78.5,62.0,47.875,72.66666666666667,180,75,26,14500000
Federico Dimarco,75.0,69.71428571428571,CB,69.5,67.33333333333333,68.125,76.66666666666667,175,75,23,10500000
Thilo Kehrer,66.0,72.28571428571429,CB,76.5,67.0,47.875,67.66666666666667,186,76,25,10000000
Ben Godfrey,65.0,77.57142857142857,CB,76.5,66.5,46.5,64.0,183,79,23,22000000
Mason Holgate,68.5,72.14285714285714,CB,79.0,70.66666666666667,47.25,74.0,184,75,24,13000000
Joachim Andersen,60.0,63.857142857142854,CB,77.5,66.33333333333333,49.25,64.66666666666667,192,90,25,12500000
Lucas Olaza,74.0,74.0,CB,74.5,71.0,70.625,73.0,175,70,27,11500000
Guillermo Maripán,53.0,49.857142857142854,CB,78.5,64.33333333333333,41.0,60.333333333333336,193,83,27,11000000
José Luis Palomino,60.0,54.42857142857143,CB,78.5,62.333333333333336,43.375,62.0,188,87,31,7000000
Diego Llorente,66.5,71.42857142857143,CB,73.0,68.0,43.5,67.33333333333333,186,76,28,11000000
Diego Llorente,66.5,71.42857142857143,CB,73.0,68.0,43.5,67.33333333333333,186,76,28,11000000
Leander Dendoncker,74.5,67.28571428571429,CB,78.0,75.5,72.0,78.0,189,88,26,13500000
Daniele Rugani,62.5,64.28571428571429,CB,78.5,63.333333333333336,44.125,58.0,190,84,27,11500000
Joël Veltman,69.0,69.57142857142857,CB,80.0,71.0,47.375,72.33333333333333,184,75,29,9000000
Denilho Abdelhamid,69.5,55.714285714285715,CB,79.0,64.66666666666667,42.0,58.0,190,83,34,5000000
Luís Neto,54.0,68.0,CB,77.0,67.5,46.5,57.666666666666664,185,73,33,5000000
Jamaal Lascelles,55.5,66.0,CB,77.5,61.333333333333336,36.875,56.333333333333336,188,83,27,12000000
David López,69.0,62.0,CB,77.5,71.0,58.125,67.0,183,81,32,7000000
Jeison Murillo,60.5,75.14285714285714,CB,76.5,69.66666666666667,44.625,63.0,184,78,29,9500000
Pablo,60.0,64.57142857142857,CB,78.5,66.66666666666667,55.5,54.0,188,86,30,8500000
Connor Goldson,68.0,69.0,CB,76.0,69.83333333333333,48.5,63.666666666666664,191,85,28,10000000
Josuha Guilavogui,66.5,66.42857142857143,CB,78.0,73.5,58.75,66.66666666666667,188,77,31,9000000
Florian Lejeune,67.5,59.0,CB,78.0,68.16666666666667,55.0,66.0,189,81,30,8500000
Craig Dawson,57.5,62.714285714285715,CB,78.5,68.0,47.75,64.33333333333333,188,77,31,7000000
Germán Pezzella,59.5,57.57142857142857,CB,79.5,61.166666666666664,47.25,53.333333333333336,186,81,30,8500000
Leandro Cabrera,57.0,60.142857142857146,CB,78.0,64.0,49.375,63.0,190,82,30,8500000
Aridane,54.0,68.85714285714286,CB,75.5,62.333333333333336,45.875,55.0,186,77,32,7000000
Ömer Toprak,67.5,68.42857142857143,CB,81.5,66.0,46.125,63.0,186,83,32,7000000
Luiz Gustavo,70.5,66.28571428571429,CB,76.5,71.66666666666667,60.5,70.66666666666667,187,78,34,5000000
Víctor Díaz,68.5,70.71428571428571,CB,74.0,69.5,55.75,68.33333333333333,184,72,33,5500000
Makoto Hasebe,72.0,60.857142857142854,CB,78.0,71.83333333333333,57.5,75.33333333333333,180,72,37,2100000
Ondřej Kúdela,67.5,73.42857142857143,CB,80.5,72.66666666666667,58.375,68.66666666666667,182,78,34,3400000
Marcelo,57.5,59.0,CB,77.0,66.83333333333333,50.5,60.666666666666664,191,85,34,3400000
Damien Da Silva,55.5,63.57142857142857,CB,78.5,63.833333333333336,43.875,66.0,184,83,33,5000000
Marcano,59.0,64.71428571428571,CB,79.5,63.166666666666664,48.25,64.0,189,77,34,3400000
Héctor Moreno,62.0,64.0,CB,78.0,68.16666666666667,53.625,68.33333333333333,186,75,33,5000000
Sokratis,59.0,65.57142857142857,CB,77.5,67.66666666666667,50.5,57.0,186,82,33,5000000
Ștefan Radu,67.5,67.14285714285714,CB,82.0,72.0,59.875,68.33333333333333,183,79,34,3400000
Gonçalo Inácio,59.0,69.71428571428571,CB,79.0,64.16666666666667,37.625,60.0,186,77,20,15000000
Jean-Clair Todibo,66.5,69.28571428571429,CB,78.0,64.66666666666667,47.625,62.666666666666664,190,88,21,15500000
Attila Szalai,56.5,70.85714285714286,CB,75.0,58.5,35.0,65.66666666666667,192,83,23,11500000
Jean-Clair Todibo,66.5,69.28571428571429,CB,78.0,64.66666666666667,47.625,62.666666666666664,190,88,21,15500000
Eric García,67.0,65.42857142857143,CB,77.0,69.0,47.5,65.33333333333333,182,76,20,15500000
Mohammed Salisu,55.5,66.0,CB,77.0,56.333333333333336,42.0,56.0,191,85,22,15500000
William Saliba,69.0,69.0,CB,78.5,67.0,43.125,63.666666666666664,192,85,20,15500000
Sebastiaan Bornauw,65.5,67.42857142857143,CB,77.5,66.83333333333333,46.0,64.33333333333333,191,83,22,11000000
Benoît Badiashile,61.5,60.285714285714285,CB,78.0,67.16666666666667,46.375,63.0,194,75,20,15500000
Lutsharel Geertruida,72.5,76.57142857142857,CB,75.0,66.5,46.25,71.0,185,73,21,15500000
Ozan Kabak,69.5,71.14285714285714,CB,74.0,64.66666666666667,40.25,56.0,186,86,21,15500000
Bremer,61.5,66.42857142857143,CB,77.5,60.5,38.125,54.666666666666664,188,82,24,11000000
Nikola Milenković,64.0,65.28571428571429,CB,77.5,62.833333333333336,43.375,66.66666666666667,195,90,23,14000000
Daniel Muñoz,70.0,75.0,CB,75.5,71.33333333333333,47.125,71.0,180,73,25,9500000
Juan Foyth,73.5,41.42857142857143,CB,0.0,41.666666666666664,51.125,69.66666666666667,187,69,23,
Ben White,36.5,69.28571428571429,CB,77.5,66.5,30.75,65.33333333333333,185,77,24,15500000
Philipp Lienhart,60.5,64.71428571428571,CB,78.5,62.166666666666664,37.25,57.333333333333336,189,83,25,9000000
Antonaldinho,58.5,73.28571428571429,CB,81.5,60.666666666666664,39.125,58.666666666666664,188,82,33,3600000
Lucas Martínez Quarta,70.0,72.57142857142857,CB,74.5,70.16666666666667,59.5,71.33333333333333,183,78,25,13500000
Pape Abou Cissé,44.0,69.57142857142857,CB,75.0,58.666666666666664,39.375,49.666666666666664,197,90,26,10000000
Jeremiah St. Juste,74.0,79.28571428571429,CB,78.5,69.83333333333333,53.375,70.0,184,74,24,9500000
Federico Dimarco,75.0,69.71428571428571,CB,69.5,67.33333333333333,68.125,76.66666666666667,175,75,23,10500000
Olivier Boscagli,75.0,74.57142857142857,CB,76.0,73.33333333333333,47.875,76.33333333333333,181,68,23,10000000
Moussa Niakhaté,65.5,71.42857142857143,CB,75.5,64.16666666666667,44.5,65.66666666666667,190,85,25,9000000
Bustinza,64.0,69.0,CB,76.0,65.66666666666667,40.625,67.33333333333333,175,75,29,7000000
Jan Bednarek,54.5,63.857142857142854,CB,77.0,62.666666666666664,30.625,54.666666666666664,189,77,25,10500000
Mattia Caldara,62.5,62.57142857142857,CB,79.0,60.5,37.125,51.666666666666664,187,80,27,7000000
Wesley Hoedt,30.0,50.57142857142857,CB,0.0,52.333333333333336,45.125,70.0,188,77,27,
Rúben Vezo,63.0,73.42857142857143,CB,77.5,66.16666666666667,53.875,67.33333333333333,183,80,27,8500000
Leonardo Sigali,60.0,68.0,CB,0.0,44.833333333333336,30.75,13.666666666666666,181,74,34,
Lisandro López,60.5,66.0,CB,77.5,63.333333333333336,51.0,51.666666666666664,187,80,32,5000000
Éder Balanta,69.5,49.714285714285715,CB,39.0,71.16666666666667,45.125,38.333333333333336,181,84,28,
Alexander Djiku,69.0,74.14285714285714,CB,75.5,69.0,48.125,67.66666666666667,182,81,27,8500000
Brandon Mechele,53.0,65.14285714285714,CB,81.5,58.5,40.625,57.333333333333336,190,79,28,7000000
Marc-Oliver Kempf,62.0,73.14285714285714,CB,38.5,62.5,47.0,35.666666666666664,186,87,26,8000000
Paulo Oliveira,64.0,63.857142857142854,CB,77.5,58.333333333333336,41.875,55.333333333333336,187,82,29,7000000
Ahmed Hegazi,56.5,36.714285714285715,CB,75.5,57.666666666666664,22.0,53.333333333333336,193,88,30,
Fabian Schär,68.5,50.142857142857146,CB,76.0,71.83333333333333,69.875,70.0,188,84,29,7000000
Dória,60.0,64.42857142857143,CB,75.5,66.16666666666667,59.25,59.0,188,82,26,8500000
Pablo Marí,52.0,60.142857142857146,CB,76.5,62.0,41.125,56.0,193,87,28,8000000
Isaac Hayden,72.5,56.42857142857143,CB,76.5,74.5,53.5,62.0,185,79,26,9000000
Robin Knoche,48.0,55.285714285714285,CB,79.5,62.833333333333336,43.5,56.0,190,77,29,6500000
Jeffrey Gouweleeuw,63.0,69.42857142857143,CB,79.5,73.33333333333333,54.75,68.0,188,83,30,6500000
Salif Sané,65.0,56.57142857142857,CB,75.0,68.66666666666667,51.5,66.33333333333333,196,85,31,6000000
Pedro Mendes,62.0,66.71428571428571,CB,77.5,61.333333333333336,45.625,54.666666666666664,186,78,31,6000000
Gernot Trauner,61.0,74.14285714285714,CB,75.5,69.16666666666667,58.625,63.333333333333336,183,82,29,6500000
Erik Sviatchenko,59.0,72.57142857142857,CB,76.5,70.33333333333333,50.5,60.666666666666664,184,82,30,6500000
